mid,gid
tt1899353,1
tt1899353,24
tt0071315,8
tt0071315,17
tt0071315,24
tt0405159,8
tt0405159,22
tt0080678,4
tt0080678,8
tt0112471,8
tt0112471,20
tt1748122,5
tt1748122,8
tt1748122,20
tt0988045,1
tt0988045,2
tt0988045,6
tt0988045,17
tt0988045,24
tt0021884,8
tt0021884,14
tt0021884,21
tt0375679,6
tt0375679,8
tt0375679,24
tt0450259,2
tt0450259,8
tt0450259,24
tt0104691,1
tt0104691,2
tt0104691,8
tt0104691,20
tt0104691,25
tt0964517,4
tt0964517,8
tt0964517,22
tt0258463,1
tt0258463,17
tt0258463,24
tt0387564,14
tt0387564,17
tt0099348,2
tt0099348,8
tt0099348,26
tt0416320,8
tt0416320,20
tt0416320,24
tt1605783,5
tt1605783,10
tt1605783,20
tt5074352,1
tt5074352,4
tt5074352,8
tt5074352,22
tt0449059,5
tt0449059,8
tt6155172,8
tt0092965,1
tt0092965,8
tt0092965,13
tt0092965,25
tt0099487,8
tt0099487,10
tt0099487,20
tt0361862,8
tt0361862,24
tt0914798,8
tt0914798,25
tt0080120,1
tt0080120,6
tt0080120,24
tt0099810,1
tt0099810,2
tt0099810,24
tt0328107,1
tt0328107,6
tt0328107,8
tt0328107,24
tt1182345,8
tt1182345,17
tt1182345,21
tt0108037,5
tt0108037,8
tt0108037,9
tt0108037,22
tt1022603,5
tt1022603,8
tt1022603,20
tt0190590,2
tt0190590,5
tt0190590,6
tt0190590,15
tt0119174,1
tt0119174,8
tt0119174,17
tt0119174,24
tt0082096,2
tt0082096,8
tt0082096,24
tt0082096,25
tt0061578,1
tt0061578,2
tt0061578,25
tt0325710,1
tt0325710,8
tt0325710,25
tt0058150,1
tt0058150,2
tt0058150,24
tt0088846,8
tt0088846,21
tt0071853,2
tt0071853,5
tt0071853,10
tt1136608,1
tt1136608,21
tt1136608,24
tt2245084,3
tt2245084,1
tt2245084,2
tt2245084,9
tt2245084,21
tt0071230,5
tt0071230,26
tt0056172,2
tt0056172,4
tt0056172,8
tt0056172,13
tt0056172,25
tt0210945,4
tt0210945,8
tt0210945,22
tt0435761,3
tt0435761,2
tt0435761,5
tt0435761,9
tt0435761,10
tt0063522,8
tt0063522,14
tt0101414,3
tt0101414,9
tt0101414,10
tt0101414,16
tt0101414,20
tt0780536,5
tt0780536,6
tt0780536,8
tt0780536,24
tt1250777,1
tt1250777,5
tt1250777,6
tt0245574,8
tt0878804,4
tt0878804,8
tt0878804,22
tt1305806,8
tt1305806,17
tt1305806,20
tt1305806,24
tt1877832,1
tt1877832,2
tt1877832,21
tt1877832,24
tt0126029,3
tt0126029,2
tt0126029,5
tt0126029,9
tt0126029,10
tt0095327,3
tt0095327,8
tt0095327,25
tt0105323,8
tt0097216,5
tt0097216,8
tt8637428,5
tt8637428,8
tt0119822,5
tt0119822,8
tt0119822,20
tt0061722,5
tt0061722,8
tt0061722,20
tt0289879,8
tt0289879,21
tt0289879,24
tt0081398,4
tt0081398,8
tt0081398,22
tt0057115,2
tt0057115,8
tt0057115,13
tt0057115,24
tt0057115,25
tt0151804,5
tt0114388,8
tt0114388,20
tt0072890,4
tt0072890,6
tt0072890,8
tt0072890,24
tt0056193,6
tt0056193,8
tt0056193,20
tt0265666,5
tt0265666,8
tt0485947,8
tt0485947,10
tt0485947,20
tt0485947,21
tt0109506,1
tt0109506,8
tt0109506,10
tt1655442,5
tt1655442,8
tt1655442,20
tt1205489,8
tt2980516,4
tt2980516,8
tt2980516,20
tt0038650,8
tt0038650,9
tt0038650,10
tt0053291,5
tt0053291,15
tt0053291,20
tt0379786,1
tt0379786,2
tt0379786,21
tt0379786,24
tt0112384,2
tt0112384,8
tt0112384,13
tt0389557,8
tt0389557,24
tt0389557,25
tt1855199,1
tt1855199,6
tt1855199,8
tt1855199,24
tt0107688,3
tt0107688,9
tt0107688,10
tt0107688,16
tt0053125,2
tt0053125,17
tt0053125,24
tt0095953,8
tt0887912,8
tt0887912,24
tt0887912,25
tt0099077,4
tt0099077,8
tt1588170,1
tt1588170,6
tt1588170,8
tt1588170,14
tt1588170,24
tt0116922,17
tt0116922,24
tt0094625,3
tt0094625,8
tt0094625,21
tt0094625,24
tt0245844,1
tt0245844,2
tt0245844,8
tt0245844,24
tt0765429,4
tt0765429,6
tt0765429,8
tt0765429,24
tt7668870,8
tt7668870,17
tt7668870,24
tt1772341,3
tt1772341,2
tt1772341,5
tt1772341,9
tt1772341,10
tt1620933,1
tt1620933,4
tt1620933,6
tt1620933,22
tt1620933,24
tt0372183,1
tt0372183,17
tt0372183,24
tt1189073,8
tt1189073,14
tt1189073,24
tt3011894,5
tt3011894,8
tt3011894,24
tt0096283,3
tt0096283,9
tt0096283,10
tt0117665,6
tt0117665,8
tt0117665,24
tt0095705,5
tt0095705,6
tt0068473,2
tt0068473,8
tt0068473,24
tt0221027,4
tt0221027,6
tt0221027,8
tt0120863,8
tt0120863,25
tt0072684,2
tt0072684,8
tt0072684,13
tt0072684,25
tt0095765,8
tt0080455,2
tt0080455,5
tt0080455,6
tt0080455,15
tt0080455,16
tt0045793,8
tt0045793,20
tt0045793,25
tt0074958,8
tt0440963,1
tt0440963,17
tt0440963,24
tt0091064,8
tt0091064,14
tt0091064,21
tt0044081,8
tt0087884,8
tt0082694,1
tt0082694,2
tt0082694,21
tt0082694,24
tt0432283,3
tt0432283,2
tt0432283,5
tt0432283,6
tt0432283,8
tt0432283,9
tt0022913,8
tt0022913,14
tt0046250,5
tt0046250,20
tt4729430,3
tt4729430,2
tt4729430,5
tt4729430,9
tt0050976,8
tt0050976,10
tt1125849,8
tt1125849,22
tt0056923,5
tt0056923,17
tt0056923,20
tt0056923,24
tt0056592,6
tt0056592,8
tt0064115,4
tt0064115,6
tt0064115,8
tt0064115,26
tt0063442,2
tt0063442,21
tt8108198,6
tt8108198,24
tt5104604,3
tt5104604,2
tt5104604,5
tt5104604,8
tt5104604,10
tt5104604,21
tt1065073,8
tt1924396,6
tt1924396,8
tt1924396,17
tt1924396,20
tt0049833,2
tt0049833,8
tt0056869,8
tt0056869,14
tt0056869,17
tt0056869,20
tt0113247,6
tt0113247,8
tt0043014,8
tt0043014,11
tt0071615,2
tt0071615,8
tt0071615,10
tt0070735,5
tt0070735,6
tt0070735,8
tt0017136,8
tt0017136,21
tt0106519,6
tt0106519,8
tt0106519,24
tt0061852,3
tt0061852,2
tt0061852,9
tt0061852,16
tt0327597,3
tt0327597,8
tt0327597,9
tt0327597,10
tt0327597,24
tt0048545,8
tt0101507,6
tt0101507,8
tt0104952,5
tt0104952,6
tt1132620,6
tt1132620,8
tt1132620,17
tt1132620,24
tt1398426,4
tt1398426,8
tt1398426,13
tt1398426,15
tt0072431,5
tt1490017,3
tt1490017,1
tt1490017,2
tt1490017,5
tt1490017,9
tt1490017,10
tt0118929,17
tt0118929,21
tt0118929,24
tt0098635,5
tt0098635,8
tt0098635,20
tt0144117,1
tt0144117,6
tt0144117,24
tt0088939,8
tt0120363,3
tt0120363,2
tt0120363,5
tt0120363,9
tt0120363,10
tt0054331,2
tt0054331,4
tt0054331,8
tt0054331,13
tt0054331,25
tt0119177,8
tt0119177,21
tt0119177,24
tt0892769,3
tt0892769,1
tt0892769,2
tt0892769,9
tt0892769,10
tt0120601,5
tt0120601,8
tt0120601,10
tt1220719,1
tt1220719,2
tt1220719,4
tt1220719,8
tt1220719,13
tt0119008,4
tt0119008,6
tt0119008,8
tt0120669,2
tt0120669,5
tt0120669,8
tt0079116,4
tt0079116,6
tt0079116,8
tt0079116,24
tt3682448,8
tt3682448,13
tt3682448,24
tt1832382,8
tt3076658,8
tt3076658,22
tt0358273,4
tt0358273,8
tt0358273,15
tt0358273,20
tt0118694,8
tt0118694,20
tt0215750,8
tt0215750,13
tt0215750,25
tt0381849,1
tt0381849,2
tt0381849,6
tt0381849,8
tt0381849,26
tt0452623,6
tt0452623,8
tt0452623,17
tt0452623,24
tt0069293,8
tt0069293,17
tt0069293,21
tt0381681,8
tt0381681,20
tt0064665,8
tt0097441,4
tt0097441,8
tt0097441,13
tt0097441,25
tt0056058,1
tt0056058,8
tt0056058,13
tt0181865,6
tt0181865,8
tt0181865,24
tt1937149,17
tt1937149,24
tt8075192,6
tt8075192,8
tt0052618,2
tt0052618,8
tt0052618,13
tt3841424,8
tt3841424,13
tt3841424,25
tt0075686,5
tt0075686,20
tt0266308,2
tt0266308,8
tt0266308,21
tt0266308,24
tt1542344,4
tt1542344,8
tt2265171,1
tt2265171,6
tt2265171,24
tt1535109,4
tt1535109,6
tt1535109,8
tt1535109,24
tt0059578,26
tt2209418,8
tt2209418,20
tt0876563,3
tt0876563,2
tt0876563,5
tt0876563,9
tt0876563,10
tt2103281,1
tt2103281,2
tt2103281,8
tt2103281,21
tt0054047,1
tt0054047,2
tt0054047,26
tt0067328,8
tt0067328,20
tt0107818,8
tt0058461,1
tt0058461,8
tt0058461,26
tt0061418,1
tt0061418,4
tt0061418,6
tt0061418,8
tt0070666,4
tt0070666,6
tt0070666,8
tt0070666,24
tt0079470,5
tt1318514,1
tt1318514,8
tt1318514,21
tt1318514,24
tt0113568,3
tt0113568,1
tt0113568,6
tt0113568,8
tt0113568,17
tt0113568,21
tt0113568,24
tt0454848,6
tt0454848,8
tt0454848,17
tt0454848,24
tt0276919,6
tt0276919,8
tt0067116,1
tt0067116,6
tt0067116,8
tt0067116,24
tt1028532,8
tt1028532,9
tt0245712,8
tt0245712,24
tt0443543,8
tt0443543,10
tt0443543,13
tt0443543,17
tt0443543,20
tt0443543,24
tt0112579,8
tt0112579,20
tt4934950,6
tt4934950,8
tt4934950,17
tt4934950,24
tt0814314,8
tt0190332,1
tt0190332,2
tt0190332,10
tt0190332,20
tt0088258,5
tt0088258,15
tt0106489,6
tt0106489,8
tt0106489,20
tt3829920,1
tt3829920,4
tt3829920,8
tt0086197,2
tt0086197,4
tt0086197,8
tt0086197,13
tt0268126,5
tt0268126,8
tt0050212,2
tt0050212,8
tt0050212,25
tt0070608,3
tt0070608,2
tt0070608,5
tt0070608,9
tt0070608,20
tt0097958,5
tt0480025,6
tt0480025,8
tt0040897,2
tt0040897,8
tt0040897,26
tt0460791,2
tt0460791,8
tt0460791,10
tt0096163,17
tt0096163,24
